date,time
5/7/2012,2:35 PM
5/7/2012,3:42 PM
5/8/2012,12:21 PM
5/8/2012,1:02 PM
5/8/2012,1:05 PM
5/8/2012,1:10 PM
5/8/2012,1:11 PM
5/8/2012,2:27 PM
5/8/2012,4:07 PM
5/9/2012,8:11 AM
5/9/2012,10:20 AM
5/9/2012,11:34 AM
5/9/2012,12:27 PM
5/9/2012,12:38 PM
5/9/2012,12:48 PM
5/9/2012,12:55 PM
5/9/2012,1:15 PM
5/9/2012,3:54 PM
5/10/2012,10:00 AM
5/10/2012,11:36 AM
5/10/2012,11:45 AM
5/10/2012,12:03 PM
5/10/2012,12:26 PM
5/10/2012,12:30 PM
5/10/2012,12:49 PM
5/10/2012,12:54 PM
5/10/2012,1:08 PM
5/10/2012,1:13 PM
5/10/2012,2:14 PM
5/10/2012,2:22 PM
5/10/2012,5:12 PM
5/11/2012,12:20 PM
5/11/2012,12:37 PM
5/11/2012,1:10 PM
5/11/2012,2:25 PM
5/11/2012,2:31 PM
5/11/2012,2:35 PM
5/11/2012,2:40 PM
5/11/2012,2:45 PM
5/11/2012,3:18 PM
5/14/2012,10:40 AM
5/14/2012,11:06 AM
5/14/2012,11:55 AM
5/14/2012,12:15 PM
5/14/2012,12:17 PM
5/14/2012,12:29 PM
5/14/2012,1:47 PM
5/14/2012,2:07 PM
5/14/2012,2:13 PM
5/14/2012,2:28 PM
5/14/2012,2:34 PM
5/14/2012,4:12 PM
5/14/2012,4:58 PM
5/15/2012,8:11 AM
5/15/2012,10:36 AM
5/15/2012,11:39 AM
5/15/2012,11:47 AM
5/15/2012,12:04 PM
5/15/2012,12:56 PM
5/15/2012,1:17 PM
5/15/2012,2:07 PM
5/15/2012,2:19 PM
5/15/2012,2:27 PM
5/15/2012,2:38 PM
5/16/2012,10:02 AM
5/16/2012,11:36 AM
5/16/2012,12:11 PM
5/16/2012,1:54 PM
5/16/2012,5:36 PM
5/17/2012,10:01 AM
5/17/2012,11:38 AM
5/17/2012,11:44 AM
5/17/2012,11:53 AM
5/17/2012,12:37 PM
5/17/2012,12:49 PM
5/17/2012,12:59 PM
5/17/2012,1:05 PM
5/17/2012,1:07 PM
5/17/2012,1:15 PM
5/17/2012,2:16 PM
5/17/2012,3:19 PM
5/17/2012,4:05 PM
5/17/2012,4:07 PM
5/18/2012,10:31 AM
5/18/2012,1:20 PM
5/18/2012,1:40 PM
5/18/2012,2:13 PM
5/18/2012,2:16 PM
5/18/2012,2:18 PM
5/18/2012,3:40 PM
5/18/2012,3:57 PM
5/18/2012,4:40 PM
5/21/2012,12:14 PM
5/21/2012,12:21 PM
5/21/2012,12:37 PM
5/21/2012,1:32 PM
5/22/2012,12:46 PM
5/22/2012,1:00 PM
5/22/2012,1:32 PM
5/23/2012,9:49 AM
5/23/2012,12:13 PM
5/23/2012,12:32 PM
5/23/2012,1:11 PM
5/23/2012,2:01 PM
5/23/2012,2:17 PM
5/23/2012,2:19 PM
5/23/2012,2:37 PM
5/23/2012,3:55 PM
5/24/2012,9:49 AM
5/24/2012,5:15 PM
5/24/2012,5:16 PM
5/29/2012,2:47 PM
5/29/2012,3:23 PM
5/29/2012,3:37 PM
5/29/2012,4:03 PM
5/31/2012,9:07 AM
5/31/2012,12:05 PM
5/31/2012,12:19 PM
5/31/2012,1:25 PM
5/31/2012,2:54 PM
5/31/2012,3:18 PM
6/4/2012,11:32 AM
6/4/2012,12:42 PM
6/4/2012,1:33 PM
6/4/2012,2:24 PM
6/4/2012,2:47 PM
6/5/2012,12:17 PM
6/5/2012,12:45 PM
6/5/2012,1:35 PM
6/5/2012,1:56 PM
6/6/2012,10:58 AM
6/6/2012,2:22 PM
6/6/2012,2:37 PM
6/6/2012,3:08 PM
6/6/2012,3:26 PM
6/6/2012,4:12 PM
6/11/2012,8:35 AM
6/11/2012,10:10 AM
6/11/2012,12:07 PM
6/11/2012,12:13 PM
6/11/2012,12:20 PM
6/11/2012,12:32 PM
6/12/2012,11:50 AM
6/12/2012,1:29 PM
6/12/2012,1:49 PM
6/13/2012,8:27 AM
6/14/2012,9:30 AM
6/14/2012,1:41 PM
6/14/2012,3:58 PM
6/15/2012,12:31 PM
6/15/2012,12:37 PM
6/18/2012,10:33 AM
6/18/2012,11:43 AM
6/18/2012,11:53 AM
6/18/2012,12:00 PM
6/18/2012,12:02 PM
6/18/2012,12:20 PM
6/18/2012,3:35 PM
6/18/2012,4:47 PM
6/19/2012,7:52 AM
6/19/2012,12:05 PM
6/19/2012,12:26 PM
6/19/2012,12:43 PM
6/19/2012,1:10 PM
6/19/2012,2:00 PM
6/19/2012,2:32 PM
6/20/2012,11:26 AM
6/20/2012,11:58 AM
6/20/2012,1:04 PM
6/20/2012,2:55 PM
6/20/2012,4:26 PM
6/20/2012,4:59 PM
6/21/2012,9:05 AM
6/21/2012,10:00 AM
6/21/2012,10:08 AM
6/21/2012,10:10 AM
6/21/2012,12:33 PM
6/21/2012,1:09 PM
6/21/2012,1:27 PM
6/22/2012,1:48 PM
6/22/2012,1:54 PM
6/25/2012,10:09 AM
6/25/2012,12:14 PM
6/26/2012,10:10 AM
6/26/2012,10:39 AM
6/26/2012,11:43 AM
6/26/2012,12:44 PM
6/26/2012,12:57 PM
6/26/2012,1:07 PM
6/26/2012,1:54 PM
6/27/2012,11:59 AM
6/27/2012,12:03 PM
6/27/2012,12:42 PM
6/27/2012,2:36 PM
6/27/2012,2:56 PM
6/28/2012,2:26 PM
6/28/2012,2:33 PM
6/28/2012,3:19 PM
7/2/2012,11:53 AM
7/2/2012,1:44 PM
7/2/2012,2:29 PM
7/2/2012,4:48 PM
7/5/2012,10:56 AM
7/9/2012,10:20 AM
7/9/2012,3:34 PM
7/11/2012,12:22 PM
7/11/2012,12:48 PM
7/12/2012,12:34 PM
7/12/2012,12:57 PM
7/12/2012,1:32 PM
7/12/2012,2:11 PM
7/12/2012,2:28 PM
7/16/2012,10:25 AM
7/16/2012,12:25 PM
7/16/2012,12:30 PM
7/16/2012,2:29 PM
7/17/2012,8:37 AM
