date,time
2/21/2012,2:39 PM
2/21/2012,2:42 PM
2/21/2012,2:47 PM
2/21/2012,2:49 PM
2/21/2012,2:53 PM
2/21/2012,3:02 PM
2/21/2012,3:02 PM
2/21/2012,3:11 PM
2/21/2012,3:50 PM
2/21/2012,4:03 PM
2/21/2012,4:03 PM
2/21/2012,4:48 PM
2/21/2012,4:53 PM
2/21/2012,4:58 PM
2/21/2012,5:44 PM
2/21/2012,5:55 PM
2/21/2012,6:12 PM
2/22/2012,8:02 AM
2/22/2012,8:30 AM
2/22/2012,8:36 AM
2/22/2012,9:05 AM
2/22/2012,10:04 AM
2/22/2012,10:57 AM
2/22/2012,11:31 AM
2/22/2012,11:34 AM
2/22/2012,12:13 PM
2/22/2012,12:25 PM
2/22/2012,12:35 PM
2/22/2012,12:36 PM
2/22/2012,12:50 PM
2/22/2012,1:09 PM
2/22/2012,1:17 PM
2/22/2012,1:24 PM
2/22/2012,1:28 PM
2/22/2012,1:57 PM
2/22/2012,2:10 PM
2/22/2012,2:17 PM
2/22/2012,2:25 PM
2/22/2012,2:29 PM
2/22/2012,2:33 PM
2/22/2012,2:33 PM
2/22/2012,2:35 PM
2/22/2012,2:35 PM
2/22/2012,2:36 PM
2/22/2012,2:37 PM
2/22/2012,2:44 PM
2/22/2012,3:15 PM
2/22/2012,3:37 PM
2/22/2012,3:39 PM
2/22/2012,3:40 PM
2/22/2012,3:49 PM
2/22/2012,4:07 PM
2/22/2012,4:07 PM
2/22/2012,4:18 PM
2/22/2012,4:20 PM
2/22/2012,4:51 PM
2/22/2012,5:06 PM
2/22/2012,5:30 PM
2/22/2012,5:33 PM
2/22/2012,5:35 PM
2/22/2012,6:05 PM
2/22/2012,6:13 PM
2/23/2012,10:44 AM
2/23/2012,11:55 AM
2/23/2012,11:57 AM
2/23/2012,12:10 PM
2/23/2012,12:11 PM
2/23/2012,12:13 PM
2/23/2012,12:28 PM
2/23/2012,12:28 PM
2/23/2012,12:44 PM
2/23/2012,1:53 PM
2/23/2012,2:18 PM
2/23/2012,2:19 PM
2/23/2012,2:33 PM
2/23/2012,2:35 PM
2/23/2012,2:40 PM
2/23/2012,2:41 PM
2/23/2012,3:57 PM
2/23/2012,4:00 PM
2/23/2012,4:01 PM
2/23/2012,4:06 PM
2/23/2012,4:10 PM
2/23/2012,4:15 PM
2/23/2012,4:17 PM
2/23/2012,4:36 PM
2/23/2012,4:48 PM
2/23/2012,5:12 PM
2/23/2012,5:22 PM
2/23/2012,5:44 PM
2/23/2012,5:51 PM
2/23/2012,5:51 PM
2/23/2012,6:00 PM
2/23/2012,6:47 PM
2/24/2012,11:23 AM
2/24/2012,12:19 PM
2/24/2012,12:24 PM
2/24/2012,12:57 PM
2/24/2012,1:00 PM
2/24/2012,1:20 PM
2/24/2012,1:23 PM
2/24/2012,1:29 PM
2/24/2012,1:30 PM
2/24/2012,1:34 PM
2/24/2012,1:42 PM
2/24/2012,1:46 PM
2/24/2012,1:53 PM
2/24/2012,2:09 PM
2/24/2012,3:02 PM
2/24/2012,3:07 PM
2/24/2012,3:45 PM
2/24/2012,3:56 PM
2/24/2012,3:57 PM
2/24/2012,4:08 PM
2/24/2012,4:32 PM
2/27/2012,10:06 AM
2/27/2012,11:42 AM
2/27/2012,11:53 AM
2/27/2012,11:59 AM
2/27/2012,12:05 PM
2/27/2012,12:19 PM
2/27/2012,12:21 PM
2/27/2012,12:24 PM
2/27/2012,12:25 PM
2/27/2012,12:36 PM
2/27/2012,12:41 PM
2/27/2012,12:49 PM
2/27/2012,1:17 PM
2/27/2012,1:20 PM
2/27/2012,1:28 PM
2/27/2012,2:36 PM
2/27/2012,2:43 PM
2/27/2012,2:56 PM
2/27/2012,3:19 PM
2/27/2012,3:47 PM
2/27/2012,3:57 PM
2/27/2012,4:02 PM
2/27/2012,4:22 PM
2/27/2012,4:26 PM
2/27/2012,4:36 PM
2/27/2012,4:37 PM
2/27/2012,4:43 PM
2/27/2012,5:19 PM
2/27/2012,5:38 PM
2/27/2012,5:42 PM
2/27/2012,6:53 PM
2/28/2012,8:53 AM
2/28/2012,10:00 AM
2/28/2012,10:02 AM
2/28/2012,10:34 AM
2/28/2012,11:30 AM
2/28/2012,11:32 AM
2/28/2012,11:56 AM
2/28/2012,12:04 PM
2/28/2012,12:13 PM
2/28/2012,12:14 PM
2/28/2012,12:19 PM
2/28/2012,12:22 PM
2/28/2012,12:23 PM
2/28/2012,12:24 PM
2/28/2012,12:25 PM
2/28/2012,12:28 PM
2/28/2012,12:30 PM
2/28/2012,12:53 PM
2/28/2012,12:56 PM
2/28/2012,1:26 PM
2/28/2012,1:41 PM
2/28/2012,2:04 PM
2/28/2012,2:25 PM
2/28/2012,2:34 PM
2/28/2012,2:38 PM
2/28/2012,2:54 PM
2/28/2012,3:15 PM
2/28/2012,3:19 PM
2/28/2012,3:43 PM
2/28/2012,3:45 PM
2/28/2012,3:48 PM
2/28/2012,3:55 PM
2/28/2012,4:04 PM
2/28/2012,4:22 PM
2/28/2012,4:23 PM
2/28/2012,4:46 PM
2/28/2012,5:00 PM
2/28/2012,5:02 PM
2/28/2012,5:05 PM
2/28/2012,5:15 PM
2/28/2012,5:25 PM
2/28/2012,5:29 PM
2/28/2012,6:08 PM
2/28/2012,6:11 PM
2/29/2012,9:19 AM
2/29/2012,10:45 AM
2/29/2012,11:50 AM
2/29/2012,12:18 PM
2/29/2012,12:21 PM
2/29/2012,12:23 PM
2/29/2012,12:27 PM
2/29/2012,12:50 PM
2/29/2012,1:02 PM
2/29/2012,1:14 PM
2/29/2012,1:16 PM
2/29/2012,1:31 PM
2/29/2012,1:54 PM
2/29/2012,2:01 PM
2/29/2012,2:07 PM
2/29/2012,2:11 PM
2/29/2012,2:26 PM
2/29/2012,2:38 PM
2/29/2012,2:40 PM
2/29/2012,2:47 PM
2/29/2012,2:54 PM
2/29/2012,2:56 PM
2/29/2012,3:00 PM
2/29/2012,3:00 PM
2/29/2012,3:26 PM
